Package,Count,Sort,Timestamp,Is_Current
dataprep,2,hotness,31:16.4,0
lets_plot,2,hotness,31:16.4,0
wandb,2,hotness,31:16.4,0
lovely_numpy,1,hotness,31:16.4,0
cairosvg,1,hotness,31:16.4,0
torchviz,1,hotness,31:16.4,0
polyleven,1,hotness,31:16.4,0
monai,1,hotness,31:16.4,0
neuralprophet,1,hotness,31:16.4,0
openai,1,hotness,31:16.4,0
phik,1,hotness,31:16.4,0
pyvis,1,hotness,31:16.4,0
efficientnet_pytorch_3d,1,hotness,31:16.4,0
tensorflow_decision_forests,1,hotness,31:16.4,0
jo_wilder,1,hotness,31:16.4,0
pygal_maps_world,1,hotness,31:16.4,0
geopy,1,hotness,31:16.4,0
emd,1,hotness,31:16.4,0
accelerate,1,hotness,31:16.4,0
pulp,1,hotness,31:16.4,0
gymnasium,1,hotness,31:16.4,0
pkg_resources,1,hotness,31:16.4,0
tensorflow_data_validation,1,hotness,31:16.4,0
birdclef_utils,1,hotness,31:16.4,0
itables,1,hotness,31:16.4,0
rouge,1,hotness,31:16.4,0
pca,1,hotness,31:16.4,0
prince,1,hotness,31:16.4,0
mlens,1,hotness,31:16.4,0
imagehash,1,hotness,31:16.4,0
tempfile,1,hotness,31:16.4,0
SimpleITK,1,hotness,31:16.4,0
miceforest,1,hotness,31:16.4,0
pycomp,1,hotness,31:16.4,0
klib,1,hotness,31:16.4,0
tkinter,1,hotness,31:16.4,0
bboxregressiongenerator,1,hotness,31:16.4,0
giddy,1,hotness,31:16.4,0
dataclasses,1,hotness,31:16.4,0
hvplot,1,hotness,31:16.4,0
difflib,1,hotness,31:16.4,0
enum,1,hotness,31:16.4,0
pydantic,1,hotness,31:16.4,0
pycountry_convert,1,hotness,31:16.4,0
splot,1,hotness,31:16.4,0
spreg,1,hotness,31:16.4,0
skompiler,1,hotness,31:16.4,0
cufflinks,1,hotness,31:16.4,0
prettytable,1,hotness,31:16.4,0
pywaffle,1,hotness,31:16.4,0
base64,1,hotness,31:16.4,0
tarfile,1,hotness,31:16.4,0
detectron2,1,hotness,31:16.4,0
cleanvision,1,hotness,31:16.4,0
scikitplot,1,hotness,31:16.4,0
pygam,1,hotness,31:16.4,0
tsfresh,1,hotness,31:16.4,0
pandarallel,1,hotness,31:16.4,0
mpld3,1,hotness,31:16.4,0
cudf,1,hotness,31:16.4,0
efficientnet,1,hotness,31:16.4,0
